County_Name,State_Abbr,Median_Income
Fayette County,IA,58764
Floyd County,IA,64500
Franklin County,IA,63648
Fremont County,IA,73750
Greene County,IA,59159
Grundy County,IA,83617
Guthrie County,IA,79981
Hamilton County,IA,71750
Hancock County,IA,70212
Hardin County,IA,64906
Harrison County,IA,77027
Henry County,IA,64604
Howard County,IA,67336
Humboldt County,IA,66994
Ida County,IA,62841
Iowa County,IA,72185
Jackson County,IA,71605
Jasper County,IA,70128
Jefferson County,IA,56824
Johnson County,IA,74721
Jones County,IA,73071
Keokuk County,IA,60856
Kossuth County,IA,65656
Lee County,IA,59803
Linn County,IA,76421
Louisa County,IA,80223
Lucas County,IA,67921
Lyon County,IA,72881
Madison County,IA,89542
Mahaska County,IA,69019
Marion County,IA,78059
Marshall County,IA,72785
Mills County,IA,87810
Mitchell County,IA,68704
Monona County,IA,62944
Monroe County,IA,72518
Montgomery County,IA,63190
Muscatine County,IA,69512
O'Brien County,IA,68216
Osceola County,IA,69138
Page County,IA,57752
Palo Alto County,IA,68963
Plymouth County,IA,81600
Pocahontas County,IA,63423
Polk County,IA,81621
Pottawattamie County,IA,71446
Poweshiek County,IA,64837
Ringgold County,IA,69821
Sac County,IA,70991
Scott County,IA,76363
Shelby County,IA,67690
Sioux County,IA,84736
Story County,IA,69006
Tama County,IA,67955
Taylor County,IA,67279
Union County,IA,56813
Van Buren County,IA,60183
Wapello County,IA,60034
Warren County,IA,92990
Washington County,IA,71339
Wayne County,IA,59118
Webster County,IA,68054
Winnebago County,IA,63719
Winneshiek County,IA,75652
Woodbury County,IA,70147
Worth County,IA,76875
Wright County,IA,64033
Allen County,KS,57618
Anderson County,KS,64925
Atchison County,KS,62164
Barber County,KS,57615
Barton County,KS,56733
Bourbon County,KS,67555
Brown County,KS,58886
Butler County,KS,80375
Chase County,KS,54518
Chautauqua County,KS,54592
Cherokee County,KS,58274
Cheyenne County,KS,55765
Clark County,KS,65515
Clay County,KS,63136
Cloud County,KS,57333
Coffey County,KS,67377
Comanche County,KS,49417
Cowley County,KS,58263
Crawford County,KS,50311
Decatur County,KS,52030
Dickinson County,KS,67982
Doniphan County,KS,72833
Douglas County,KS,68756
Edwards County,KS,53792
Elk County,KS,56087
Ellis County,KS,59889
Ellsworth County,KS,66792
Finney County,KS,72437
Ford County,KS,70495
Franklin County,KS,72142
Geary County,KS,57344
Gove County,KS,63203
Graham County,KS,52909
Grant County,KS,72484
Gray County,KS,77885
Greeley County,KS,78819
Greenwood County,KS,58276
Hamilton County,KS,61929
Harper County,KS,55417
Harvey County,KS,73269
Haskell County,KS,69138
Hodgeman County,KS,63125
Jackson County,KS,72703
Jefferson County,KS,77393
Jewell County,KS,52344
Johnson County,KS,107261
Kearny County,KS,74135
Kingman County,KS,59819
Kiowa County,KS,73214
Labette County,KS,55439
Lane County,KS,53042
Leavenworth County,KS,86906
Lincoln County,KS,53546
Linn County,KS,59200
Logan County,KS,71389
Lyon County,KS,59078
McPherson County,KS,77701
Marion County,KS,63438
Marshall County,KS,70828
Meade County,KS,74868
Miami County,KS,88000
Mitchell County,KS,58233
Montgomery County,KS,53242
Morris County,KS,56716
Morton County,KS,65625
Nemaha County,KS,77375
Neosho County,KS,55704
Ness County,KS,66107
Norton County,KS,50305
Osage County,KS,70216
Osborne County,KS,59408
Ottawa County,KS,76755
Pawnee County,KS,63625
Phillips County,KS,61235
Pottawatomie County,KS,87694
Pratt County,KS,64348
Rawlins County,KS,65000
Reno County,KS,60498
Republic County,KS,53611
Rice County,KS,63947
Riley County,KS,59560
Rooks County,KS,61596
Rush County,KS,60288
Russell County,KS,53902
Saline County,KS,63316
Scott County,KS,67788
Sedgwick County,KS,67675
Seward County,KS,62269
