county_name,state_name,state,is_desert
Deaf Smith County,Texas,TX,False
Washington County,Utah,UT,True
Glascock County,Georgia,GA,False
Terrell County,Georgia,GA,False
Carlisle County,Kentucky,KY,False
St. Charles Parish,Louisiana,LA,False
Perkins County,Nebraska,NE,False
Harlan County,Nebraska,NE,False
Douglas County,Nebraska,NE,False
Iron County,Utah,UT,True
Caledonia County,Vermont,VT,False
Addison County,Vermont,VT,False
Lanier County,Georgia,GA,False
Jones County,Georgia,GA,False
Jackson Parish,Louisiana,LA,False
Androscoggin County,Maine,ME,False
Ionia County,Michigan,MI,False
Furnas County,Nebraska,NE,False
Dixon County,Nebraska,NE,False
Elko County,Nevada,NV,True
Hampton city,Virginia,VA,False
Scott County,Virginia,VA,False
Meriwether County,Georgia,GA,False
Calhoun County,Michigan,MI,False
Barry County,Michigan,MI,False
Jackson County,Michigan,MI,False
Steele County,Minnesota,MN,False
Humboldt County,Nevada,NV,True
Cheshire County,New Hampshire,NH,False
Burlington County,New Jersey,NJ,False
Catron County,New Mexico,NM,True
Portsmouth city,Virginia,VA,False
Poquoson city,Virginia,VA,False
Lee County,Georgia,GA,False
Anoka County,Minnesota,MN,False
Sibley County,Minnesota,MN,False
Douglas County,Minnesota,MN,False
Lea County,New Mexico,NM,True
Otero County,New Mexico,NM,True
Chemung County,New York,NY,False
Spokane County,Washington,WA,False
Monongalia County,West Virginia,WV,False
Madison County,Idaho,ID,True
McDonough County,Illinois,IL,False
Isanti County,Minnesota,MN,False
Meeker County,Minnesota,MN,False
Lyon County,Minnesota,MN,False
Lee County,Mississippi,MS,False
Sunflower County,Mississippi,MS,False
Broome County,New York,NY,False
Monroe County,New York,NY,False
Hancock County,West Virginia,WV,False
Pierce County,Wisconsin,WI,False
Christian County,Illinois,IL,False
Montgomery County,Illinois,IL,False
Wayne County,Illinois,IL,False
Carroll County,Mississippi,MS,False
Sharkey County,Mississippi,MS,False
Kemper County,Mississippi,MS,False
Surry County,North Carolina,NC,False
Cleveland County,North Carolina,NC,False
Kewaunee County,Wisconsin,WI,False
Green County,Wisconsin,WI,False
Pepin County,Wisconsin,WI,False
Grant County,Indiana,IN,False
Kosciusko County,Indiana,IN,False
Fountain County,Indiana,IN,False
Miami County,Indiana,IN,False
Lawrence County,Mississippi,MS,False
Smith County,Mississippi,MS,False
Henry County,Missouri,MO,False
St. Francois County,Missouri,MO,False
Sargent County,North Dakota,ND,False
Divide County,North Dakota,ND,False
Bottineau County,North Dakota,ND,False
Sweetwater County,Wyoming,WY,True
